threshold,total_cost,fraud_loss,friction_cost,precision,recall,f1
0.81,37664.369999999995,34759.369999999995,2905.0,0.12102874432677761,0.12012012012012012,0.12057272042200452
0.8200000000000001,37637.82,35092.82,2545.0,0.12392426850258176,0.10810810810810811,0.11547714514835605
0.8300000000000001,38009.94,35769.94,2240.0,0.125,0.0960960960960961,0.10865874363327674
0.8400000000000001,38762.75,36857.75,1905.0,0.12814645308924486,0.08408408408408409,0.10154125113327289
0.85,39147.5,37612.5,1535.0,0.1327683615819209,0.07057057057057058,0.09215686274509804
0.86,39516.869999999995,38301.869999999995,1215.0,0.13829787234042554,0.05855855855855856,0.08227848101265822
0.87,39709.29,38694.29,1015.0,0.14705882352941177,0.052552552552552555,0.07743362831858407
0.88,39796.56,38916.56,880.0,0.1619047619047619,0.05105105105105105,0.0776255707762557
0.89,40074.19,39294.19,780.0,0.15675675675675677,0.04354354354354354,0.0681551116333725
0.9,40206.86,39581.86,625.0,0.16666666666666666,0.03753753753753754,0.061274509803921566
0.91,40571.67999999999,40041.67999999999,530.0,0.171875,0.03303303303303303,0.055415617128463476
0.92,41294.229999999996,40909.229999999996,385.0,0.14444444444444443,0.01951951951951952,0.03439153439153439
0.93,41264.89,41029.89,235.0,0.1896551724137931,0.016516516516516516,0.03038674033149171
0.9400000000000001,41481.32,41361.32,120.0,0.1111111111111111,0.0045045045045045045,0.008658008658008658
0.9500000000000001,41586.8,41506.8,80.0,0.1111111111111111,0.003003003003003003,0.005847953216374269
0.9600000000000001,41711.47,41661.47,50.0,0.09090909090909091,0.0015015015015015015,0.0029542097488921715
0.97,41767.19,41747.19,20.0,0.0,0.0,0.0
0.98,41767.19,41747.19,20.0,0.0,0.0,0.0
0.99,41747.19,41747.19,0.0,0.0,0.0,0.0
